Video,Vivas,Mortas,Tempo de Anï¿½lise
IMG_6478.mov,23,5,20.863184213638306
IMG_6479.mov,56,10,20.016506671905518
IMG_6480.mov,32,10,19.75263261795044
IMG_6481.mov,32,4,19.860612630844116
IMG_6482.mov,29,6,20.55011487007141
IMG_6484.mov,36,2,18.493728399276733
IMG_6485.mov,33,1,15.595948934555054
IMG_6486.mov,42,4,15.462840795516968
IMG_6487.mov,43,5,15.060242176055908
IMG_6488.mov,42,3,15.301385164260864
IMG_6489.mov,1,50,21.58018207550049
IMG_6490.mov,0,34,15.538037061691284
IMG_6491.mov,0,24,15.217997074127197
IMG_6492.mov,0,49,17.52092170715332
IMG_6493.mov,0,48,17.598676919937134
IMG_6495.mov,0,51,19.02560520172119
IMG_6496.mov,0,68,17.1109881401062
IMG_6497.mov,0,31,16.62474298477173
IMG_6498.mov,0,41,15.586082458496094
IMG_6499.mov,0,68,16.17841601371765
IMG_6500.mov,0,37,17.99182629585266
IMG_6501.mov,0,71,17.676456212997437
IMG_6502.mov,0,52,16.08396029472351
IMG_6503.mov,1,51,15.910103559494019
IMG_6504.mov,0,62,16.474024295806885
